Time 	 f_s1 	 f_s2 	 f_s3 	 W_s1 	 W_s2 	 W_s3 	 OdoMeasure 	 Heading 	 Roll 	 Pitch 	 Latitude 	 Longitude 	 Altitude 	 OdoLatitude 	 OdoLongitude 	 OdoAltitude
0.1    -0.00180100620233656    0.208993081306433    9.81459886699692    0.00913824202186145    0.00183719333015087    -0.0271653729509908    0.0678563447161152    0.788120864760213    0.000183259436763649    0.000916295986523377    0.959931088817993    0.645771823624647    100.000001832592    0.959931365546605    0.64577211425085    99.7019261849651    9.81682394014045
0.2    -0.00360199741586479    0.217986044897325    9.81458481815105    0.00914296805481382    0.00181220963318939    -0.0271625830857794    0.0804141691685399    0.790843492501299    0.000366518065353479    0.00183258074843238    0.959931089259005    0.645771824400227    100.000009162911    0.959931365567859    0.645772116378231    99.7038581049798    9.81700596123056
0.3    -0.00540296112760718    0.226978773059369    9.81456219279828    0.00914758089207733    0.00178722232136549    -0.0271590333307345    0.0955579855219592    0.793565973001018    0.000549775077599235    0.00274884306125013    0.959931089918698    0.645771825566724    100.000025655948    0.959931365805434    0.645772118894278    99.7057994003913    9.81718796762667
0.4    -0.00720388482570577    0.235971148083776    9.81453099200129    0.00915208010046527    0.00176223374689695    -0.027154723816338    0.112245728582399    0.796288232643663    0.00073302966533779    0.00366507170077475    0.959931090795849    0.645771827126208    100.000054976456    0.959931366258122    0.645772121801014    99.7077537112949    9.81736995695071
0.5    -0.00900475599990088    0.24496305226856    9.81449121724127    0.00915646524825404    0.0017372462615062    -0.0271496546979944    0.129883461861687    0.799010197819499    0.000916281020416709    0.00458125544321687    0.959931091889229    0.645771829080739    100.00010078885    0.959931366924711    0.64577212510045    99.7097246774389    9.81755192682541
0.6    -0.0108055621420101    0.253954367920814    9.81444287041781    0.00916073590521188    0.00171226221623434    -0.0271438261560246    0.148132065912825    0.801731794926753    0.00109952833469781    0.0054973830653371    0.959931093197605    0.64577183143237    100.000166757115    0.959931367803986    0.645772128794589    99.711715938129    9.8177338748743
0.7    -0.0126062907464064    0.26294497735899    9.81438595384886    0.0091648916426275    0.00168728396125515    -0.0271372383956574    0.166791005683084    0.804452950373607    0.00128277080006074    0.00641344334458353    0.959931094719738    0.64577183418314    100.000256544706    0.959931368894725    0.645772132885421    99.7137311321329    9.81791579872176
0.8    -0.0144069293104968    0.271934762915181    9.81432047027054    0.00916893203333876    0.00166231384568926    -0.0271298916470206    0.18573652224124    0.807173590580181    0.00146600760840652    0.00732942505922919    0.959931096454384    0.645771837335078    100.000373814457    0.959931370195702    0.64577213737493    99.715773897585    9.81809769599311
0.9    -0.0162074653352001    0.280923606937395    9.81424642283704    0.00917285665176122    0.00163735421741834    -0.0271217861651299    0.204889012593002    0.809893641980531    0.00164923795166112    0.00824531698850952    0.959931098400296    0.645771840890204    100.000522228481    0.959931371705687    0.645772142265085    99.7178478718908    9.81827956431456
1    -0.0180078863254248    0.289911391791835    9.81416381512044    0.00917666507391675    0.00161240742289941    -0.0271129222298771    0.22419532809914    0.812613031024633    0.00183246102177903    0.00916110791275986    0.95993110055622    0.645771844850526    100.000705448077    0.959931373423445    0.645772147557849    99.7199566916316    9.81846140131334
1.1    -0.0198081797905456    0.298897999865175    9.81407265111047    0.0091803568774621    0.00158747580697933    -0.0271033001460165    0.243618798345041    0.815331684180372    0.00201567601074681    0.0100767866135528    0.959931102920898    0.645771849218042    100.00092713363    0.959931375347738    0.64577215325517    99.7221039924695    9.81864320461766
1.2    -0.0216083332448819    0.307883313566835    9.81397293521439    0.00918393164171732    0.00156256171270935    -0.0270929202431507    0.26313338640691    0.818049527935533    0.00219888211058664    0.0109923418738358    0.95993110549307    0.645771853994737    100.001190944523    0.959931377477321    0.645772159358989    99.7242934090514    9.81882497185682
1.3    -0.0234083342081725    0.316867215331255    9.81386467225668    0.0091873889476943    0.00153766748115985    -0.027081782875714    0.282720136962359    0.820766488799787    0.00238207851335993    0.0119077624780683    0.959931108271467    0.645771859182586    100.00150053903    0.959931379810947    0.645772165871234    99.7265285749144    9.81900670066121
1.4    -0.0252081702060532    0.325849587620169    9.81374786747879    0.00919072837812517    0.00151279545123524    -0.0270698884229556    0.302364944475591    0.823482493306677    0.00256526441117083    0.0128230372123593    0.959931111254819    0.645771864783554    100.001859574233    0.959931382347366    0.645772172793822    99.72881312239    9.81918838866237
